French,English
histoire,history
pensais,thought
genre,kind
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
bébé,baby
longtemps,long time
heures,hours
vont,will
savais,knew
attention,Warning
voici,here is
donner,give
type,type
leurs,their
train,train
endroit,place
façon,way
écoute,listen
dont,whose
main,hand
première,first
tellement,so much
point,point
suite,after
minutes,minutes
demandé,request
mis,placed
droit,law
aujourd'hui,today
cause,cause
enfin,finally
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
aura,will have
jouer,to play
